fragment_smiles,frequency,heavy_atoms,dummy_atoms,logp,mw,tpsa,hbd,hba,rotbonds,fsp3,n_atoms,o_atoms,s_atoms,halogen_count,aromatic_ring_count,aliphatic_ring_count,heterocycles_total,n_heterocycles_count,o_heterocycles_count,s_heterocycles_count,label_lipophilic,label_hydrophilic,label_amphiphilic,label_high_flexibility,label_high_mw,label_high_sp3,label_has_aromatic_ring,label_has_aliphatic_ring,label_high_hbd,label_high_hba,label_high_tpsa,label_low_tpsa,label_acidic,label_basic,label_zwitterionic,label_neutral,label_nucleophilic,label_electrophilic,label_strong_ewg,label_aromatic_ring,label_multi_aromatic,label_has_heterocycle,label_multi_heterocycle,label_n_heterocycle,label_o_heterocycle,label_s_heterocycle,label_has_halogen,label_high_halogen,label_nitrogen_rich,label_oxygen_rich,label_sulfur_rich,label_bioisostere,label_has_amide,label_has_ester
[14*]c1noc2[nH]c(C)cc(=O)c12,12,11,1,-0.0008799999999998254,149.129,58.89,1,3,0,0.14285714285714285,2,2,0,0,2,0,2,2,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
[16*]c1ccnc2ccc(F)cc12,12,11,1,1.5484999999999998,146.14399999999998,12.89,0,1,0,0.0,1,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
[15*]C1CC(=O)NC12CCOCC2,12,11,1,0.39329999999999976,154.18899999999996,38.33,1,2,0,0.875,1,2,0,0,0,2,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
[8*]C(N)C(=O)C(C)(C)C,12,8,1,0.43569999999999975,114.16799999999999,43.09,1,2,1,0.8333333333333334,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13*]C1Nc2cc([16*])ccc2CC1O,12,11,2,0.0655,147.177,32.26,2,2,0,0.3333333333333333,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
[14*]c1cn2c(n1)CC(N)CC2,12,10,1,-0.6688000000000001,136.178,43.84,1,3,0,0.5714285714285714,3,0,0,0,1,1,2,2,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0
[13*]C1Nc2cccc([16*])c2CC1O,12,11,2,0.06549999999999989,147.177,32.26,2,2,0,0.3333333333333333,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
[8*]CC1(O)CCc2ccc(C)cc21,12,12,1,2.09642,161.224,20.23,1,1,1,0.45454545454545453,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[5*]N1CC(=O)Nc2c(C)cccc21,12,12,1,1.21782,161.184,32.34,1,2,0,0.2222222222222222,2,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
[15*]C1CC2CC1([15*])C2,12,6,2,1.8458999999999999,80.13000000000001,0.0,0,0,0,1.0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[14*]c1ncc(Br)cc1C#N,12,9,1,0.8903800000000001,182.0,36.68,0,2,0,0.0,2,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
[16*]c1c(C)[nH]c2c(C)cc(F)cc12,12,12,1,2.09844,162.18699999999998,15.79,1,0,0,0.2,1,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
[8*]CC1=CC(O)CCCC1,12,9,1,1.8153,125.191,20.23,1,1,1,0.75,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[8*]CC1=CC(N)CCCC1,12,9,1,1.7817,124.20700000000001,26.02,1,1,1,0.75,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[13*]C1NCCOC12COC2,12,9,1,-0.7494000000000003,128.15099999999998,30.49,1,3,0,1.0,1,2,0,0,0,2,2,1,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
