gene_symbol,protein_name,uniprot_id,organism,target_type,description,function_summary,disease_keywords,chembl_target_id,aliases,pathway,known_drugs,representative_ligands,external_links
ABL1,Tyrosine-protein kinase ABL1,P00519,Homo sapiens,Kinase,"Non-receptor tyrosine-protein kinase that plays a role in many key processes linked to cell growth and survival such as cytoskeleton remodeling in response to extracellular stimuli, cell motility and adhesion, receptor endocytosis, autophagy, DNA damage response and apoptosis. Coordinates actin remodeling through tyrosine phosphorylation of proteins controlling cytoskeleton dynamics like WASF3 (involved in branch formation); ANXA1 (involved in membrane anchoring); DBN1, DBNL, CTTN, RAPH1 and ENAH (involved in signaling); or MAPT and PXN (microtubule-binding proteins). Phosphorylation of WASF3 is critical for the stimulation of lamellipodia formation and cell migration. Involved in the regulation of cell adhesion and motility through phosphorylation of key regulators of these processes such as BCAR1, CRK, CRKL, DOK1, EFS or NEDD9 (PubMed:22810897). Phosphorylates multiple receptor tyrosine kinases and more particularly promotes endocytosis of EGFR, facilitates the formation of neuromuscular synapses through MUSK, inhibits PDGFRB-mediated chemotaxis and modulates the endocytosis of activated B-cell receptor complexes. Other substrates which are involved in endocytosis regulation are the caveolin (CAV1) and RIN1. Moreover, ABL1 regulates the CBL family of ubiquitin ligases that drive receptor down-regulation and actin remodeling. Phosphorylation of CBL leads to increased EGFR stability. Involved in late-stage autophagy by regulating positively the trafficking and function of lysosomal components. ABL1 targets to mitochondria in response to oxidative stress and thereby mediates mitochondrial dysfunction and cell death. In response to oxidative stress, phosphorylates serine/threonine kinase PRKD2 at 'Tyr-717' (PubMed:28428613). ABL1 is also translocated in the nucleus where it has DNA-binding activity and is involved in DNA-damage response and apoptosis. Many substrates are known mediators of DNA repair: DDB1, DDB2, ERCC3, ERCC6, RAD9A, RAD51, RAD52 or WRN. Activates the proapoptotic pathway when the DNA damage is too severe to be repaired. Phosphorylates TP73, a primary regulator for this type of damage-induced apoptosis. Phosphorylates the caspase CASP9 on 'Tyr-153' and regulates its processing in the apoptotic response to DNA damage. Phosphorylates PSMA7 that leads to an inhibition of proteasomal activity and cell cycle transition blocks. ABL1 also acts as a regulator of multiple pathological signaling cascades during infection. Several known tyrosine-phosphorylated microbial proteins have been identified as ABL1 substrates. This is the case of A36R of Vaccinia virus, Tir (translocated intimin receptor) of pathogenic E.coli and possibly Citrobacter, CagA (cytotoxin-associated gene A) of H.pylori, or AnkA (ankyrin repeat-containing protein A) of A.phagocytophilum. Pathogens can highjack ABL1 kinase signaling to reorganize the host actin cytoskeleton for multiple purposes, like facilitating intracellular movement and host cell exit. Finally, functions as its own regulator through autocatalytic activity as well as through phosphorylation of its inhibitor, ABI1. Regulates T-cell differentiation in a TBX21-dependent manner (By similarity). Positively regulates chemokine-mediated T-cell migration, polarization, and homing to lymph nodes and immune-challenged tissues, potentially via activation of NEDD9/HEF1 and RAP1 (By similarity). Phosphorylates TBX21 on tyrosine residues leading to an enhancement of its transcriptional activator activity (By similarity)","Non-receptor tyrosine-protein kinase that plays a role in many key processes linked to cell growth and survival such as cytoskeleton remodeling in response to extracellular stimuli, cell motility and adhesion, receptor endocytosis, autophagy, DNA damage response and apoptosis. Coordinates actin remodeling through tyrosine phosphorylation of proteins controlling cytoskeleton dynamics like WASF3 (involved in branch formation); ANXA1 (involved in membrane anchoring); DBN1, DBNL, CTTN, RAPH1 and ENAH (involved in signaling); or MAPT and PXN (microtubule-binding proteins). Phosphorylation of WASF3 is critical for the stimulation of lamellipodia formation and cell migration. Involved in the regulation of cell adhesion and motility through phosphorylation of key regulators of these processes such as BCAR1, CRK, CRKL, DOK1, EFS or NEDD9 (PubMed:22810897). Phosphorylates multiple receptor tyrosine kinases and more particularly promotes endocytosis of EGFR, facilitates the formation of neuromuscular synapses through MUSK, inhibits PDGFRB-mediated chemotaxis and modulates the endocytosis of activated B-cell receptor complexes. Other substrates which are involved in endocytosis regulation are the caveolin (CAV1) and RIN1. Moreover, ABL1 regulates the CBL family of ubiquitin ligases that drive receptor down-regulation and actin remodeling. Phosphorylation of CBL leads to increased EGFR stability. Involved in late-stage autophagy by regulating positively the trafficking and function of lysosomal components. ABL1 targets to mitochondria in response to oxidative stress and thereby mediates mitochondrial dysfunction and cell death. In response to oxidative stress, phosphorylates serine/threonine kinase PRKD2 at 'Tyr-717' (PubMed:28428613). ABL1 is also translocated in the nucleus where it has DNA-binding activity and is involved in DNA-damage response and apoptosis. Many substrates are known mediators of DNA repair: DDB1, DDB2, ERCC3, ERCC6, RAD9A, RAD51, RAD52 or WRN. Activates the proapoptotic pathway when the DNA damage is too severe to be repaired. Phosphorylates TP73, a primary regulator for this type of damage-induced apoptosis. Phosphorylates the caspase CASP9 on 'Tyr-153' and regulates its processing in the apoptotic response to DNA damage. Phosphorylates PSMA7 that leads to an inhibition of proteasomal activity and cell cycle transition blocks. ABL1 also acts as a regulator of multiple pathological signaling cascades during infection. Several known tyrosine-phosphorylated microbial proteins have been identified as ABL1 substrates. This is the case of A36R of Vaccinia virus, Tir (translocated intimin receptor) of pathogenic E.coli and possibly Citrobacter, CagA (cytotoxin-associated gene A) of H.pylori, or AnkA (ankyrin repeat-containing protein A) of A.phagocytophilum. Pathogens can highjack ABL1 kinase signaling to reorganize the host actin cytoskeleton for multiple purposes, like facilitating intracellular movement and host cell exit. Finally, functions as its own regulator through autocatalytic activity as well as through phosphorylation of its inhibitor, ABI1. Regulates T-cell differentiation in a TBX21-dependent manner (By similarity). Positively regulates chemokine-mediated T-cell migration, polarization, and homing to lymph nodes and immune-challenged tissues, potentially via activation of NEDD9/HEF1 and RAP1 (By similarity). Phosphorylates TBX21 on tyrosine residues leading to an enhancement of its transcriptional activator activity (By similarity)",chronic myeloid leukemia;acute lymphoblastic leukemia,,ABL;ABL1;BCR-ABL,Imported common target set,,,UniProt|https://www.uniprot.org/uniprotkb/P00519/entry;RCSB Search|https://www.rcsb.org/search?request=P00519
ACE,Angiotensin-converting enzyme,P12821,Homo sapiens,Metalloprotease,"Dipeptidyl carboxypeptidase that removes dipeptides from the C-terminus of a variety of circulating hormones, such as angiotensin I, bradykinin or enkephalins, thereby playing a key role in the regulation of blood pressure, electrolyte homeostasis or synaptic plasticity (PubMed:15615692, PubMed:20826823, PubMed:2558109, PubMed:4322742, PubMed:7523412, PubMed:7683654). Composed of two similar catalytic domains, each possessing a functional active site, with different selectivity for substrates (PubMed:10913258, PubMed:1320019, PubMed:1851160, PubMed:19773553, PubMed:7683654, PubMed:7876104). Plays a major role in the angiotensin-renin system that regulates blood pressure and sodium retention by the kidney by converting angiotensin I to angiotensin II, resulting in an increase of the vasoconstrictor activity of angiotensin (PubMed:11432860, PubMed:1851160, PubMed:19773553, PubMed:23056909, PubMed:4322742). Also able to inactivate bradykinin, a potent vasodilator, and therefore enhance the blood pressure response (PubMed:15615692, PubMed:2558109, PubMed:4322742, PubMed:6055465, PubMed:6270633, PubMed:7683654). Acts as a regulator of synaptic transmission by mediating cleavage of neuropeptide hormones, such as substance P, neurotensin or enkephalins (PubMed:15615692, PubMed:6208535, PubMed:6270633, PubMed:656131). Catalyzes degradation of different enkephalin neuropeptides (Met-enkephalin, Leu-enkephalin, Met-enkephalin-Arg-Phe and possibly Met-enkephalin-Arg-Gly-Leu) (PubMed:2982830, PubMed:6270633, PubMed:656131). Acts as a regulator of synaptic plasticity in the nucleus accumbens of the brain by mediating cleavage of Met-enkephalin-Arg-Phe, a strong ligand of Mu-type opioid receptor OPRM1, into Met-enkephalin (By similarity). Met-enkephalin-Arg-Phe cleavage by ACE decreases activation of OPRM1, leading to long-term synaptic potentiation of glutamate release (By similarity). Also acts as a regulator of hematopoietic stem cell differentiation by mediating degradation of hemoregulatory peptide N-acetyl-SDKP (AcSDKP) (PubMed:26403559, PubMed:7876104, PubMed:8257427, PubMed:8609242). Acts as a regulator of cannabinoid signaling pathway by mediating degradation of hemopressin, an antagonist peptide of the cannabinoid receptor CNR1 (PubMed:18077343). Involved in amyloid-beta metabolism by catalyzing degradation of Amyloid-beta protein 40 and Amyloid-beta protein 42 peptides, thereby preventing plaque formation (PubMed:11604391, PubMed:16154999, PubMed:19773553). Catalyzes cleavage of cholecystokinin (maturation of Cholecystokinin-8 and Cholecystokinin-5) and Gonadoliberin-1 (both maturation and degradation) hormones (PubMed:10336644, PubMed:2983326, PubMed:7683654, PubMed:9371719). Degradation of hemoregulatory peptide N-acetyl-SDKP (AcSDKP) and amyloid-beta proteins is mediated by the N-terminal catalytic domain, while angiotensin I and cholecystokinin cleavage is mediated by the C-terminal catalytic region (PubMed:10336644, PubMed:19773553, PubMed:7876104)","Dipeptidyl carboxypeptidase that removes dipeptides from the C-terminus of a variety of circulating hormones, such as angiotensin I, bradykinin or enkephalins, thereby playing a key role in the regulation of blood pressure, electrolyte homeostasis or synaptic plasticity (PubMed:15615692, PubMed:20826823, PubMed:2558109, PubMed:4322742, PubMed:7523412, PubMed:7683654). Composed of two similar catalytic domains, each possessing a functional active site, with different selectivity for substrates (PubMed:10913258, PubMed:1320019, PubMed:1851160, PubMed:19773553, PubMed:7683654, PubMed:7876104). Plays a major role in the angiotensin-renin system that regulates blood pressure and sodium retention by the kidney by converting angiotensin I to angiotensin II, resulting in an increase of the vasoconstrictor activity of angiotensin (PubMed:11432860, PubMed:1851160, PubMed:19773553, PubMed:23056909, PubMed:4322742). Also able to inactivate bradykinin, a potent vasodilator, and therefore enhance the blood pressure response (PubMed:15615692, PubMed:2558109, PubMed:4322742, PubMed:6055465, PubMed:6270633, PubMed:7683654). Acts as a regulator of synaptic transmission by mediating cleavage of neuropeptide hormones, such as substance P, neurotensin or enkephalins (PubMed:15615692, PubMed:6208535, PubMed:6270633, PubMed:656131). Catalyzes degradation of different enkephalin neuropeptides (Met-enkephalin, Leu-enkephalin, Met-enkephalin-Arg-Phe and possibly Met-enkephalin-Arg-Gly-Leu) (PubMed:2982830, PubMed:6270633, PubMed:656131). Acts as a regulator of synaptic plasticity in the nucleus accumbens of the brain by mediating cleavage of Met-enkephalin-Arg-Phe, a strong ligand of Mu-type opioid receptor OPRM1, into Met-enkephalin (By similarity). Met-enkephalin-Arg-Phe cleavage by ACE decreases activation of OPRM1, leading to long-term synaptic potentiation of glutamate release (By similarity). Also acts as a regulator of hematopoietic stem cell differentiation by mediating degradation of hemoregulatory peptide N-acetyl-SDKP (AcSDKP) (PubMed:26403559, PubMed:7876104, PubMed:8257427, PubMed:8609242). Acts as a regulator of cannabinoid signaling pathway by mediating degradation of hemopressin, an antagonist peptide of the cannabinoid receptor CNR1 (PubMed:18077343). Involved in amyloid-beta metabolism by catalyzing degradation of Amyloid-beta protein 40 and Amyloid-beta protein 42 peptides, thereby preventing plaque formation (PubMed:11604391, PubMed:16154999, PubMed:19773553). Catalyzes cleavage of cholecystokinin (maturation of Cholecystokinin-8 and Cholecystokinin-5) and Gonadoliberin-1 (both maturation and degradation) hormones (PubMed:10336644, PubMed:2983326, PubMed:7683654, PubMed:9371719). Degradation of hemoregulatory peptide N-acetyl-SDKP (AcSDKP) and amyloid-beta proteins is mediated by the N-terminal catalytic domain, while angiotensin I and cholecystokinin cleavage is mediated by the C-terminal catalytic region (PubMed:10336644, PubMed:19773553, PubMed:7876104)",hypertension;cardiovascular disease;renin angiotensin signaling,,ACE;ACE1;DCP1,Imported common target set,,,UniProt|https://www.uniprot.org/uniprotkb/P12821/entry;RCSB Search|https://www.rcsb.org/search?request=P12821
ACE2,Angiotensin-converting enzyme 2,Q9BYF1,Homo sapiens,Metalloprotease,"Essential counter-regulatory carboxypeptidase of the renin-angiotensin hormone system that is a critical regulator of blood volume, systemic vascular resistance, and thus cardiovascular homeostasis (PubMed:27217402). Converts angiotensin I to angiotensin 1-9, a nine-amino acid peptide with anti-hypertrophic effects in cardiomyocytes, and angiotensin II to angiotensin 1-7, which then acts as a beneficial vasodilator and anti-proliferation agent, counterbalancing the actions of the vasoconstrictor angiotensin II (PubMed:10924499, PubMed:10969042, PubMed:11815627, PubMed:14504186, PubMed:19021774). Also removes the C-terminal residue from three other vasoactive peptides, neurotensin, kinetensin, and des-Arg bradykinin, but is not active on bradykinin (PubMed:10969042, PubMed:11815627). Also cleaves other biological peptides, such as apelins (apelin-13, [Pyr1]apelin-13, apelin-17, apelin-36), casomorphins (beta-casomorphin-7, neocasomorphin) and dynorphin A with high efficiency (PubMed:11815627, PubMed:27217402, PubMed:28293165). In addition, ACE2 C-terminus is homologous to collectrin and is responsible for the trafficking of the neutral amino acid transporter SL6A19 to the plasma membrane of gut epithelial cells via direct interaction, regulating its expression on the cell surface and its catalytic activity (PubMed:18424768, PubMed:19185582)","Essential counter-regulatory carboxypeptidase of the renin-angiotensin hormone system that is a critical regulator of blood volume, systemic vascular resistance, and thus cardiovascular homeostasis (PubMed:27217402). Converts angiotensin I to angiotensin 1-9, a nine-amino acid peptide with anti-hypertrophic effects in cardiomyocytes, and angiotensin II to angiotensin 1-7, which then acts as a beneficial vasodilator and anti-proliferation agent, counterbalancing the actions of the vasoconstrictor angiotensin II (PubMed:10924499, PubMed:10969042, PubMed:11815627, PubMed:14504186, PubMed:19021774). Also removes the C-terminal residue from three other vasoactive peptides, neurotensin, kinetensin, and des-Arg bradykinin, but is not active on bradykinin (PubMed:10969042, PubMed:11815627). Also cleaves other biological peptides, such as apelins (apelin-13, [Pyr1]apelin-13, apelin-17, apelin-36), casomorphins (beta-casomorphin-7, neocasomorphin) and dynorphin A with high efficiency (PubMed:11815627, PubMed:27217402, PubMed:28293165). In addition, ACE2 C-terminus is homologous to collectrin and is responsible for the trafficking of the neutral amino acid transporter SL6A19 to the plasma membrane of gut epithelial cells via direct interaction, regulating its expression on the cell surface and its catalytic activity (PubMed:18424768, PubMed:19185582)",cardiovascular disease;viral entry;renin angiotensin signaling,,ACE2;ACEH,Imported common target set,,,UniProt|https://www.uniprot.org/uniprotkb/Q9BYF1/entry;RCSB Search|https://www.rcsb.org/search?request=Q9BYF1
ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,P78536,Homo sapiens,Protease,"Transmembrane metalloprotease which mediates the ectodomain shedding of a myriad of transmembrane proteins including adhesion proteins, growth factor precursors and cytokines important for inflammation and immunity (PubMed:24226769, PubMed:24227843, PubMed:28060820, PubMed:28923481). Cleaves the membrane-bound precursor of TNF to its mature soluble form (PubMed:36078095, PubMed:9034191). Responsible for the proteolytical release of soluble JAM3 from endothelial cells surface (PubMed:20592283). Responsible for the proteolytic release of several other cell-surface proteins, including p75 TNF-receptor, interleukin 1 receptor type II, p55 TNF-receptor, transforming growth factor-alpha, L-selectin, growth hormone receptor, MUC1 and the amyloid precursor protein (PubMed:12441351). Acts as an activator of Notch pathway by mediating cleavage of Notch, generating the membrane-associated intermediate fragment called Notch extracellular truncation (NEXT) (PubMed:24226769). Plays a role in the proteolytic processing of ACE2 (PubMed:24227843). Plays a role in hemostasis through shedding of GP1BA, the platelet glycoprotein Ib alpha chain (By similarity). Mediates the proteolytic cleavage of LAG3, leading to release the secreted form of LAG3 (By similarity). Mediates the proteolytic cleavage of IL6R, leading to the release of secreted form of IL6R (PubMed:26876177, PubMed:28060820). Mediates the proteolytic cleavage and shedding of FCGR3A upon NK cell stimulation, a mechanism that allows for increased NK cell motility and detachment from opsonized target cells. Cleaves TREM2, resulting in shedding of the TREM2 ectodomain (PubMed:28923481)","Transmembrane metalloprotease which mediates the ectodomain shedding of a myriad of transmembrane proteins including adhesion proteins, growth factor precursors and cytokines important for inflammation and immunity (PubMed:24226769, PubMed:24227843, PubMed:28060820, PubMed:28923481). Cleaves the membrane-bound precursor of TNF to its mature soluble form (PubMed:36078095, PubMed:9034191). Responsible for the proteolytical release of soluble JAM3 from endothelial cells surface (PubMed:20592283). Responsible for the proteolytic release of several other cell-surface proteins, including p75 TNF-receptor, interleukin 1 receptor type II, p55 TNF-receptor, transforming growth factor-alpha, L-selectin, growth hormone receptor, MUC1 and the amyloid precursor protein (PubMed:12441351). Acts as an activator of Notch pathway by mediating cleavage of Notch, generating the membrane-associated intermediate fragment called Notch extracellular truncation (NEXT) (PubMed:24226769). Plays a role in the proteolytic processing of ACE2 (PubMed:24227843). Plays a role in hemostasis through shedding of GP1BA, the platelet glycoprotein Ib alpha chain (By similarity). Mediates the proteolytic cleavage of LAG3, leading to release the secreted form of LAG3 (By similarity). Mediates the proteolytic cleavage of IL6R, leading to the release of secreted form of IL6R (PubMed:26876177, PubMed:28060820). Mediates the proteolytic cleavage and shedding of FCGR3A upon NK cell stimulation, a mechanism that allows for increased NK cell motility and detachment from opsonized target cells. Cleaves TREM2, resulting in shedding of the TREM2 ectodomain (PubMed:28923481)",inflammation;TNF shedding;EGFR ligand shedding,,ADAM17;TACE,Imported common target set,,,UniProt|https://www.uniprot.org/uniprotkb/P78536/entry;RCSB Search|https://www.rcsb.org/search?request=P78536
ADORA2A,Adenosine receptor A2a,P29274,Homo sapiens,GPCR,Receptor for adenosine (By similarity). The activity of this receptor is mediated by G proteins which activate adenylyl cyclase (By similarity),Receptor for adenosine (By similarity). The activity of this receptor is mediated by G proteins which activate adenylyl cyclase (By similarity),Parkinson disease;inflammation;adenosine signaling,,A2A;ADORA2;ADORA2A,Imported common target set,,,UniProt|https://www.uniprot.org/uniprotkb/P29274/entry;RCSB Search|https://www.rcsb.org/search?request=P29274
ADRB2,Beta-2 adrenergic receptor,P07550,Homo sapiens,GPCR,"G protein-coupled receptor for catecholamines that couples to both G(s) and G(i) proteins, activating bifurcated signaling pathways (PubMed:2831218, PubMed:7915137). ADRB2 binds epinephrine (Epi) with an approximately 30-fold greater affinity than norepinephrine (NE) (PubMed:2831218, PubMed:33093660, PubMed:7915137). In the heart, Epi- and NE-activated ADRB2 induces rapid and slow cardiomyocyte contraction rate, respectively (By similarity). Both NE and Epi promote coupling to G(s)/PKA pathway to regulate myocyte contraction rate (By similarity). Epi also promotes ADRB2 coupling to G(i) proteins to exert cardioprotective effects especially in the conditions of hypoxia and oxidative stress through the G(i)/PI3K/Akt signaling pathway (By similarity). ADRB2-G(s) signaling delivers proapoptotic signals in cardiomyocytes although G(i)-mediated survival effect appears to predominate (By similarity). ADRB2 also transduces signals independently of PKA to regulate cellular pH by modulating Na(+)/H(+) exchanger SLC9A3 function (PubMed:9560162)","G protein-coupled receptor for catecholamines that couples to both G(s) and G(i) proteins, activating bifurcated signaling pathways (PubMed:2831218, PubMed:7915137). ADRB2 binds epinephrine (Epi) with an approximately 30-fold greater affinity than norepinephrine (NE) (PubMed:2831218, PubMed:33093660, PubMed:7915137). In the heart, Epi- and NE-activated ADRB2 induces rapid and slow cardiomyocyte contraction rate, respectively (By similarity). Both NE and Epi promote coupling to G(s)/PKA pathway to regulate myocyte contraction rate (By similarity). Epi also promotes ADRB2 coupling to G(i) proteins to exert cardioprotective effects especially in the conditions of hypoxia and oxidative stress through the G(i)/PI3K/Akt signaling pathway (By similarity). ADRB2-G(s) signaling delivers proapoptotic signals in cardiomyocytes although G(i)-mediated survival effect appears to predominate (By similarity). ADRB2 also transduces signals independently of PKA to regulate cellular pH by modulating Na(+)/H(+) exchanger SLC9A3 function (PubMed:9560162)",asthma;COPD;cardiovascular disease,,ADRB2;B2AR;BAR,Imported common target set,,,UniProt|https://www.uniprot.org/uniprotkb/P07550/entry;RCSB Search|https://www.rcsb.org/search?request=P07550
